"","V1","V2","V3","V4"
"denovo72679",0,0,0,0
"denovo72791",0,0,0,0
"denovo72929",0,0,0,0
"denovo72980",0,0,0,0
"denovo73093",0,0,0,0
"denovo73317",0,0,0,0
"denovo73490",0,0,0,0
"denovo73624",0,0,0,0
"denovo73968",0,0,0,0
"denovo74009",0,0,0,0
"denovo74319",0,0,0,0
"denovo74517",0,0,0,0
"denovo74776",0,0,0,0
"denovo74956",0,0,0,0
"denovo75013",0,0,0,0
"denovo75578",0,0,0,0
"denovo75980",0,0,0,0
"denovo76061",0,0,0,0
"denovo76225",0,0,0,0
"denovo76362",0,0,0,0
"denovo76366",0,0,0,0
"denovo76433",0,0,0,0
"denovo76515",0,0,0,0
"denovo76775",0,0,0,0
"denovo76974",0,0,0,0
"denovo77087",0,0,0,0
"denovo77123",0,0,0,0
"denovo77492",0,0,0,0
"denovo77769",0,0,0,0
"denovo77832",0,0,0,0
"denovo77988",0.340858791476601,0,0,0
"denovo78135",0,0,0,0
"denovo78167",0,0,0,0
"denovo78318",0,0,0,0
"denovo78321",0,0,0,0
"denovo78468",0,0,0,0
"denovo78644",0,0,0,0
"denovo78706",0,0,0,0
"denovo79027",0,0,0,0
"denovo79558",0,0,0,0
"denovo79567",0,0,0,0
"denovo79862",0,0,0,0
"denovo79958",0,0,0,0
"denovo80093",0,0,0,0
"denovo80097",0,0,0,0
"denovo80508",0,0,0,0
"denovo80556",0,0,0,0
"denovo81123",0,0,0,0
"denovo81172",0,0,0,0
"denovo81442",0,0,0,0
"denovo81569",0,0,0,0
"denovo81832",0,0,0,0
"denovo82086",0,0,0,0
"denovo82118",0,0,0,0
"denovo82614",0,0,0,0
"denovo82645",0,0,0,0
"denovo82669",0,0,0,0
"denovo83036",0,0,0,0
"denovo83249",0,0,0,0
"denovo83268",0,0,0,0
"denovo83501",0,0,0,0
"denovo83535",0,0,0,0
"denovo83549",0,0,0,0
"denovo84043",0,0,0,0
"denovo84189",0,0,0,0
"denovo84302",0,0,0,0
"denovo84747",0,0,0,0
"denovo84836",0,0,0,0
"denovo85022",0,0,0,0
"denovo85074",0,0,0,0
"denovo85507",0,0,0,0
"denovo85568",0,0,0,0
"denovo85621",0,0,0,0
"denovo85828",0,0,0,0
"denovo85937",0,0,0,0
"denovo85981",0,0,0,0
"denovo86168",0,0,0,0
"denovo86767",0,0,0,0
"denovo86878",0,0,0,0
"denovo86964",0,0,0,0
"denovo87443",0,0,0,0
"denovo88191",0,0,0,0
"denovo88538",0,0,0,0
"denovo88864",0,0,0,0
"denovo88926",0,0,0,0
"denovo88998",0,0,0,0
"denovo89240",0,0,0,0
"denovo89556",0,0,0,0
"denovo89670",0,0,0,0
"denovo89680",0,0,0,0
"denovo89995",0,0,0,0
"denovo90125",0,0,0,0
"denovo91436",0,0,0,0
"denovo91505",0,0,0,0
"denovo91758",0,0,0,0
"denovo92255",0,0,0,0
"denovo92340",0,0,0,0
"denovo92522",0,0,0,0
"denovo92559",0,0,0,0
"denovo92649",0,0,0,0
"denovo92781",0,0,0,0
